Algorithm,FinalMean,FinalStd,BestAcrossRuns,Median,AvgElapsedSec
SimpleLinBandit,-39.166159153384626,0.0,-39.166159153384626,-39.166159153384626,32.58301305770874
TuRBO-1,-39.16616567140272,0.0,-39.16616567140272,-39.16616567140272,18.604575872421265
REMBO,-0.27424570929657055,0.0,-0.27424570929657055,-0.27424570929657055,15.661892890930176
