Algorithm,Dimension,Active,DirectionMean,DirectionStd,RewardMean,RewardStd
SimpleLinBandit,0,1,124.18743465770167,0.0,1.8705048350874645,0.0
SimpleLinBandit,1,1,112.63874860718074,0.0,2.782476642594128,0.0
SimpleLinBandit,2,1,128.02517315416222,0.0,1.4157125474945023,0.0
SimpleLinBandit,3,1,125.81571217654279,0.0,2.0673056162568892,0.0
SimpleLinBandit,4,1,140.24875773920837,0.0,1.7124764517451603,0.0
SimpleLinBandit,5,0,25.29265661339495,0.0,0.8902026605309401,0.0
SimpleLinBandit,6,0,20.467303775721827,0.0,1.0393440624924306,0.0
SimpleLinBandit,7,0,22.94754529212152,0.0,0.5669701722781314,0.0
SimpleLinBandit,8,0,25.80650920468622,0.0,0.8845828683508263,0.0
SimpleLinBandit,9,0,40.40105622311755,0.0,0.7266812710273756,0.0
SimpleLinBandit,10,0,14.144963603804989,0.0,0.9373393936146395,0.0
SimpleLinBandit,11,0,25.27634889401785,0.0,0.9360057849035643,0.0
SimpleLinBandit,12,0,31.053063436705745,0.0,0.5287519809096438,0.0
SimpleLinBandit,13,0,34.821715174071876,0.0,0.8469266796863512,0.0
SimpleLinBandit,14,0,22.464466021469505,0.0,0.5085402439776242,0.0
SimpleLinBandit,15,0,12.81195878129717,0.0,0.4225254663043443,0.0
SimpleLinBandit,16,0,15.196230807429524,0.0,0.29012929387950376,0.0
SimpleLinBandit,17,0,25.249626765521832,0.0,0.46865856640523756,0.0
SimpleLinBandit,18,0,38.59746736976061,0.0,0.7367190746176344,0.0
SimpleLinBandit,19,0,15.540918764943434,0.0,0.8208023075411758,0.0
TuRBO-1,0,1,164.8837887670464,0.0,2.4131752239221544,0.0
TuRBO-1,1,1,168.94758245279468,0.0,3.5712892098812388,0.0
TuRBO-1,2,1,156.24446835567824,0.0,0.8981515555519861,0.0
TuRBO-1,3,1,186.77917600840718,0.0,4.464943648262156,0.0
TuRBO-1,4,1,169.8584538832874,0.0,3.6589880514417064,0.0
TuRBO-1,5,0,53.515911892876055,0.0,0.8326426654465491,0.0
TuRBO-1,6,0,38.89182745134895,0.0,0.5954532442121447,0.0
TuRBO-1,7,0,32.33583289328993,0.0,0.32588080364582217,0.0
TuRBO-1,8,0,45.49811395439186,0.0,0.7957901628783877,0.0
TuRBO-1,9,0,40.61475510457283,0.0,0.8879984743213575,0.0
TuRBO-1,10,0,46.66884900039459,0.0,0.47632204632389435,0.0
TuRBO-1,11,0,41.962743492110235,0.0,1.452919389500292,0.0
TuRBO-1,12,0,48.234186144134966,0.0,1.1229790579867616,0.0
TuRBO-1,13,0,45.28876976882051,0.0,1.074232846035752,0.0
TuRBO-1,14,0,42.83522203422432,0.0,1.0905883704592294,0.0
TuRBO-1,15,0,45.514562945049654,0.0,1.6550208646825653,0.0
TuRBO-1,16,0,45.56955798476167,0.0,0.7110361798836492,0.0
TuRBO-1,17,0,49.338502860837025,0.0,0.4925076135558782,0.0
TuRBO-1,18,0,41.38876744860378,0.0,0.7136527643023485,0.0
TuRBO-1,19,0,48.65643126343881,0.0,0.8371356140387437,0.0
REMBO,0,1,105.23373609345265,0.0,0.0,0.0
REMBO,1,1,80.73764362177127,0.0,0.0,0.0
REMBO,2,1,96.3102055554974,0.0,0.0,0.0
REMBO,3,1,109.8441888237915,0.0,0.0,0.0
REMBO,4,1,25.823560522031055,0.0,0.0,0.0
REMBO,5,0,15.297552913622493,0.0,0.0,0.0
REMBO,6,0,11.222675135340618,0.0,0.0,0.0
REMBO,7,0,13.60076140497771,0.0,0.0,0.0
REMBO,8,0,11.528495496106443,0.0,0.0,0.0
REMBO,9,0,26.22893482752174,0.0,0.0,0.0
REMBO,10,0,31.179876785918196,0.0,0.0,0.0
REMBO,11,0,27.266271311785275,0.0,0.0,0.0
REMBO,12,0,16.493166034763142,0.0,0.0,0.0
REMBO,13,0,14.810902905095208,0.0,0.0,0.0
REMBO,14,0,14.93345275670308,0.0,0.0,0.0
REMBO,15,0,18.221331650585036,0.0,0.0,0.0
REMBO,16,0,1.306625481476172,0.0,0.0,0.0
REMBO,17,0,9.828331643497712,0.0,0.0,0.0
REMBO,18,0,37.53656624249325,0.0,0.0,0.0
REMBO,19,0,41.3431094083962,0.0,0.0,0.0
