Algorithm,FinalMean,FinalStd,BestAcrossRuns,Median,AvgElapsedSec
SimpleLinBandit,-165.58958511186475,0.0,-165.58958511186475,-165.58958511186475,92.67964029312134
TuRBO-1,-162.7783238807468,0.0,-162.7783238807468,-162.7783238807468,41.88294005393982
REMBO,-6.588324366598361,0.0,-6.588324366598361,-6.588324366598361,64.5340301990509
