Algorithm,Dimension,Active,DirectionMean,DirectionStd,RewardMean,RewardStd
SimpleLinBandit,0,1,154.2269126936808,0.0,14.453931374908755,0.0
SimpleLinBandit,1,1,143.7556590736719,0.0,6.594022234394463,0.0
SimpleLinBandit,2,1,162.89452707663344,0.0,14.248524287610229,0.0
SimpleLinBandit,3,1,154.19142169822672,0.0,12.448430596475085,0.0
SimpleLinBandit,4,1,187.18396106289777,0.0,15.158405610671831,0.0
SimpleLinBandit,5,0,31.45175125510979,0.0,3.6308136795928894,0.0
SimpleLinBandit,6,0,30.799913922950758,0.0,1.886758355069671,0.0
SimpleLinBandit,7,0,26.19874075003646,0.0,3.76063126491281,0.0
SimpleLinBandit,8,0,37.01484270475552,0.0,2.0189869468079595,0.0
SimpleLinBandit,9,0,52.36507953263093,0.0,4.909025435637213,0.0
SimpleLinBandit,10,0,24.328303609068467,0.0,1.369754618494704,0.0
SimpleLinBandit,11,0,34.31695796734312,0.0,2.469899716373466,0.0
SimpleLinBandit,12,0,41.41231261866011,0.0,3.5823842033765785,0.0
SimpleLinBandit,13,0,33.890460565722236,0.0,2.047554548005334,0.0
SimpleLinBandit,14,0,33.97089745538718,0.0,3.050723354943569,0.0
SimpleLinBandit,15,0,21.14991201012381,0.0,1.0310187764796355,0.0
SimpleLinBandit,16,0,17.246759385735427,0.0,1.7434551021790554,0.0
SimpleLinBandit,17,0,36.492218345539534,0.0,2.834478976007232,0.0
SimpleLinBandit,18,0,49.43977368141164,0.0,4.532580665667961,0.0
SimpleLinBandit,19,0,26.879631324643924,0.0,2.2688307928898688,0.0
TuRBO-1,0,1,133.69737507369786,0.0,1.5063693139654915,0.0
TuRBO-1,1,1,71.70857768549186,0.0,0.524589510051023,0.0
TuRBO-1,2,1,173.24248878949905,0.0,3.5246532387201643,0.0
TuRBO-1,3,1,139.22574457994824,0.0,2.3115342544441155,0.0
TuRBO-1,4,1,181.79086404757484,0.0,1.8153605882025345,0.0
TuRBO-1,5,0,45.930107296989966,0.0,1.7208230655387624,0.0
TuRBO-1,6,0,53.7604103496627,0.0,0.37200190322774773,0.0
TuRBO-1,7,0,47.195390980987995,0.0,0.39119316471175586,0.0
TuRBO-1,8,0,48.90433591447735,0.0,1.6340506654150564,0.0
TuRBO-1,9,0,40.08552185634516,0.0,0.7830395150868193,0.0
TuRBO-1,10,0,61.6450920764259,0.0,1.4819743427264989,0.0
TuRBO-1,11,0,52.47577395008854,0.0,1.2479470042872098,0.0
TuRBO-1,12,0,34.38142534126768,0.0,0.7048629892040678,0.0
TuRBO-1,13,0,53.12222838403679,0.0,1.2899295376356523,0.0
TuRBO-1,14,0,44.72222617542778,0.0,0.8652870406696741,0.0
TuRBO-1,15,0,45.22984664579751,0.0,0.7705078228144656,0.0
TuRBO-1,16,0,47.32803638247276,0.0,0.9720645210864413,0.0
TuRBO-1,17,0,47.71853439407073,0.0,1.0527942301289193,0.0
TuRBO-1,18,0,49.39652616945146,0.0,1.0414293878211252,0.0
TuRBO-1,19,0,37.547712363399775,0.0,0.9229297645007577,0.0
REMBO,0,1,43.28693854524706,0.0,0.0,0.0
REMBO,1,1,102.64031625082809,0.0,0.0,0.0
REMBO,2,1,93.37040579464445,0.0,0.0,0.0
REMBO,3,1,70.52304729690252,0.0,0.0,0.0
REMBO,4,1,71.62066944286539,0.0,0.0,0.0
REMBO,5,0,55.25348067598765,0.0,0.0,0.0
REMBO,6,0,24.542417624895002,0.0,0.0,0.0
REMBO,7,0,2.2451624331481628,0.0,0.0,0.0
REMBO,8,0,10.512696810530768,0.0,0.0,0.0
REMBO,9,0,1.357652244108362,0.0,0.0,0.0
REMBO,10,0,12.917974459686505,0.0,0.0,0.0
REMBO,11,0,25.083504597099093,0.0,0.0,0.0
REMBO,12,0,16.31390103931542,0.0,0.0,0.0
REMBO,13,0,21.801709295958034,0.0,0.0,0.0
REMBO,14,0,3.56299021397682,0.0,0.0,0.0
REMBO,15,0,13.117655243669828,0.0,0.0,0.0
REMBO,16,0,1.5428027682295908,0.0,0.0,0.0
REMBO,17,0,21.112054963977855,0.0,0.0,0.0
REMBO,18,0,17.19579697057027,0.0,0.0,0.0
REMBO,19,0,2.6591256946994806,0.0,0.0,0.0
